,Step,Training Loss,Validation Loss
0,500,1.6857,1.3728164434432983
1,1000,1.3436,1.3131108283996582
2,1500,1.2724,1.2885569334030151
3,2000,1.2832,1.2588685750961304
4,2500,1.2674,1.2424076795578003
5,3000,1.2435,1.2201404571533203
6,3500,1.2114,1.2110410928726196
7,4000,1.2012,1.1950243711471558
8,4500,1.171,1.1825815439224243
9,5000,1.1548,1.1704176664352417
10,5500,1.1548,1.1645562648773193
11,6000,1.156,1.1565264463424683
12,6500,1.1425,1.1475378274917603
13,7000,1.1416,1.1443825960159302
14,7500,1.1272,1.1378905773162842
15,8000,1.1323,1.1316908597946167
16,8500,1.1084,1.1277434825897217
17,9000,1.1054,1.1237170696258545
18,9500,1.1081,1.1212348937988281
19,10000,1.1146,1.115642786026001
20,10500,1.1098,1.111756682395935
21,11000,1.0934,1.105190396308899
22,11500,1.1145,1.1082055568695068
23,12000,1.1012,1.1006375551223755
24,12500,1.1052,1.0960884094238281
25,13000,1.0985,1.0942491292953491
26,13500,1.0992,1.0922698974609375
27,14000,1.0889,1.088671088218689
28,14500,1.0727,1.0846303701400757
29,15000,1.0913,1.08278226852417
30,15500,1.0937,1.0797840356826782
31,16000,1.078,1.0781399011611938
32,16500,1.0868,1.0742791891098022
33,17000,1.0532,1.0799158811569214
34,17500,1.0607,1.0704569816589355
35,18000,1.0689,1.068529486656189
36,18500,1.0585,1.0699118375778198
37,19000,1.0528,1.0632164478302002
38,19500,1.0744,1.0649584531784058
39,20000,1.0581,1.061581015586853
40,20500,1.0441,1.0642439126968384
41,21000,1.0501,1.0609130859375
42,21500,1.0685,1.0571608543395996
43,22000,1.0275,1.054630160331726
44,22500,1.0426,1.0502684116363525
45,23000,1.0611,1.0496735572814941
46,23500,1.048,1.048142433166504
47,24000,1.0603,1.0429091453552246
48,24500,1.0372,1.0441187620162964
49,25000,1.0292,1.044424295425415
50,25500,1.016,1.0413382053375244
51,26000,1.0271,1.0415540933609009
52,26500,1.0402,1.0391337871551514
53,27000,1.0266,1.0370845794677734
54,27500,1.0423,1.0378587245941162
55,28000,1.0427,1.0351554155349731
56,28500,1.0268,1.0327086448669434
57,29000,1.0327,1.0313951969146729
58,29500,1.018,1.0292835235595703
59,30000,1.0366,1.028443694114685
60,30500,1.0235,1.0309829711914062
61,31000,1.0322,1.0254000425338745
62,31500,1.0226,1.0245085954666138
63,32000,1.0044,1.022786259651184
64,32500,1.0207,1.0223325490951538
65,33000,1.0271,1.0234858989715576
66,33500,1.0058,1.0209649801254272
67,34000,1.0383,1.0189076662063599
68,34500,1.0026,1.0155136585235596
69,35000,1.0203,1.01622474193573
70,35500,1.0271,1.0136491060256958
71,36000,0.9989,1.0137486457824707
72,36500,1.0054,1.0132616758346558
73,37000,1.01,1.0120092630386353
74,37500,0.9982,1.0105220079421997
75,38000,0.9961,1.0090268850326538
76,38500,0.9651,1.0079232454299927
77,39000,1.0169,1.003840446472168
78,39500,0.9968,1.0033766031265259
79,40000,0.9936,1.0044469833374023
80,40500,1.02,1.0007179975509644
81,41000,1.009,1.000139594078064
82,41500,1.0019,0.9983276128768921
83,42000,1.0021,0.9971028566360474
84,42500,0.9862,0.9964773654937744
85,43000,0.9974,0.9951186776161194
86,43500,0.9948,0.9949427247047424
87,44000,0.9797,0.9948723912239075
